month,cty_code,country,gen_val_usd,gen_qty,qty_unit,con_val_usd,hts
2024-03,6XXX,AUSTRALIA AND OCEANIA,0,0,NO,0,7104911000
2024-03,0020,USMCA (NAFTA),59648,148,NO,59648,7104911000
2024-03,0022,OECD,2819460,169338,NO,2749358,7104911000
2024-03,0023,NATO,374316,2168,NO,448645,7104911000
2024-03,0025,EURO AREA,246595,163375,NO,320924,7104911000
2024-03,0026,APEC,4050900,549963,NO,4026448,7104911000
2024-03,0027,ASEAN,240185,6329,NO,215733,7104911000
2024-03,1220,CANADA,59648,148,NO,59648,7104911000
2024-03,7910,SOUTH AFRICA,0,0,NO,0,7104911000
2024-04,5200,UNITED ARAB EMIRATES,1467695,7162,NO,0,7104911000
2024-04,5330,INDIA,73471565,2247645,NO,82063512,7104911000
2024-04,5490,THAILAND,515122,1521,NO,515122,7104911000
2024-04,5590,SINGAPORE,0,0,NO,0,7104911000
2024-04,5600,INDONESIA,76326,334,NO,76326,7104911000
2024-04,5700,CHINA,239876,892715,NO,239876,7104911000
2024-04,5820,HONG KONG,680773,624,NO,680773,7104911000
2024-04,6021,AUSTRALIA,11176,2,NO,11176,7104911000
2024-04,6141,NEW ZEALAND,0,0,NO,0,7104911000
2024-04,4120,UNITED KINGDOM,44867,82,NO,44867,7104911000
2024-04,4210,NETHERLANDS,39840,134,NO,39840,7104911000
2024-04,4231,BELGIUM,3817541,7859,NO,3752497,7104911000
2024-04,4280,GERMANY,183084,79,NO,183084,7104911000
2024-04,4330,AUSTRIA,31485,292656,NO,31485,7104911000
2024-04,4419,SWITZERLAND,41209,22,NO,41209,7104911000
2024-04,4759,ITALY,0,0,NO,0,7104911000
2024-04,4890,TURKEY,20100,529,NO,20100,7104911000
2024-04,5081,ISRAEL,2337198,10006,NO,1758497,7104911000
2024-04,-,TOTAL FOR ALL COUNTRIES,83661706,3461856,NO,90150705,7104911000
2024-04,0003,EUROPEAN UNION,4071950,300728,NO,4006906,7104911000
2024-04,1XXX,NORTH AMERICA,681549,485,NO,681549,7104911000
2024-04,4XXX,EUROPE,4178126,301361,NO,4113082,7104911000
2024-04,7XXX,AFRICA,2300,1,NO,10792,7104911000
2024-04,0014,PACIFIC RIM COUNTRIES,1008151,893675,NO,1008151,7104911000
2024-04,5XXX,ASIA,78788555,3160007,NO,85334106,7104911000
2024-04,6XXX,AUSTRALIA AND OCEANIA,11176,2,NO,11176,7104911000
2024-04,0020,USMCA (NAFTA),681549,485,NO,681549,7104911000
2024-04,0022,OECD,7208049,311854,NO,6564304,7104911000
2024-04,0023,NATO,4786981,9168,NO,4721937,7104911000
2024-04,0025,EURO AREA,4071950,300728,NO,4006906,7104911000
2024-04,0026,APEC,2204822,895681,NO,2204822,7104911000
